Current Velocity: 37.04	Final Velocity: 37.06	Joules Lost: 62	Distance: 600	Time: 2.812	Run  	
Current Velocity: 37.06	Final Velocity: 37.09	Joules Lost: 65	Distance: 610	Time: 2.812	Run  	
Current Velocity: 37.09	Final Velocity: 37.11	Joules Lost: 69	Distance: 620	Time: 2.812	Run  	
Current Velocity: 37.11	Final Velocity: 37.13	Joules Lost: 72	Distance: 630	Time: 2.812	Run  	
Current Velocity: 37.13	Final Velocity: 37.14	Joules Lost: 75	Distance: 640	Time: 2.812	Run  	
Current Velocity: 37.14	Final Velocity: 37.16	Joules Lost: 78	Distance: 650	Time: 2.812	Run  	
Current Velocity: 37.16	Final Velocity: 37.18	Joules Lost: 81	Distance: 660	Time: 2.781	Run  	
Current Velocity: 37.18	Final Velocity: 37.19	Joules Lost: 83	Distance: 670	Time: 2.781	Run  	
Current Velocity: 37.19	Final Velocity: 37.21	Joules Lost: 86	Distance: 680	Time: 2.781	Run  	
Current Velocity: 37.21	Final Velocity: 37.22	Joules Lost: 88	Distance: 690	Time: 2.781	Run  	
Current Velocity: 37.22	Final Velocity: 37.23	Joules Lost: 90	Distance: 700	Time: 2.781	Run  	
Current Velocity: 37.23	Final Velocity: 37.24	Joules Lost: 92	Distance: 710	Time: 2.781	Run  	
Current Velocity: 37.24	Final Velocity: 37.25	Joules Lost: 94	Distance: 720	Time: 2.781	Run  	
Current Velocity: 37.25	Final Velocity: 37.26	Joules Lost: 95	Distance: 730	Time: 2.781	Run  	
Current Velocity: 37.26	Final Velocity: 37.27	Joules Lost: 97	Distance: 740	Time: 2.781	Run  	
Current Velocity: 37.27	Final Velocity: 37.28	Joules Lost: 99	Distance: 750	Time: 2.781	Run  	
Current Velocity: 37.28	Final Velocity: 37.29	Joules Lost: 100	Distance: 760	Time: 2.781	Run  	
Current Velocity: 37.29	Final Velocity: 37.3	Joules Lost: 101	Distance: 770	Time: 2.781	Run  	
Current Velocity: 37.3	Final Velocity: 37.31	Joules Lost: 103	Distance: 780	Time: 2.781	Run  	
Current Velocity: 37.31	Final Velocity: 37.31	Joules Lost: 104	Distance: 790	Time: 2.781	Run  	
Current Velocity: 37.31	Final Velocity: 37.32	Joules Lost: 105	Distance: 800	Time: 2.781	Run  	
Current Velocity: 37.32	Final Velocity: 37.33	Joules Lost: 106	Distance: 810	Time: 2.781	Run  	
Current Velocity: 37.33	Final Velocity: 37.33	Joules Lost: 107	Distance: 820	Time: 2.781	Run  	
Current Velocity: 37.33	Final Velocity: 37.34	Joules Lost: 108	Distance: 830	Time: 2.781	Run  	
Current Velocity: 37.34	Final Velocity: 37.34	Joules Lost: 109	Distance: 840	Time: 2.781	Run  	
Current Velocity: 37.34	Final Velocity: 37.35	Joules Lost: 110	Distance: 850	Time: 2.781	Run  	
Current Velocity: 37.35	Final Velocity: 37.35	Joules Lost: 111	Distance: 860	Time: 2.781	Run  	
Current Velocity: 37.35	Final Velocity: 37.36	Joules Lost: 111	Distance: 870	Time: 2.781	Run  	
Current Velocity: 37.36	Final Velocity: 37.36	Joules Lost: 112	Distance: 880	Time: 2.781	Run  	
Current Velocity: 37.36	Final Velocity: 37.37	Joules Lost: 113	Distance: 890	Time: 2.781	Run  	
Current Velocity: 37.37	Final Velocity: 37.37	Joules Lost: 113	Distance: 900	Time: 2.781	Run  	
Current Velocity: 37.37	Final Velocity: 37.37	Joules Lost: 114	Distance: 910	Time: 2.781	Run  	
Current Velocity: 37.37	Final Velocity: 37.38	Joules Lost: 115	Distance: 920	Time: 2.781	Run  	
Current Velocity: 37.38	Final Velocity: 37.38	Joules Lost: 115	Distance: 930	Time: 2.781	Run  	
Current Velocity: 37.38	Final Velocity: 37.38	Joules Lost: 116	Distance: 940	Time: 2.781	Run  	
Current Velocity: 37.38	Final Velocity: 37.38	Joules Lost: 116	Distance: 950	Time: 2.781	Run  	
Current Velocity: 37.38	Final Velocity: 37.39	Joules Lost: 116	Distance: 960	Time: 2.781	Run  	
Current Velocity: 37.39	Final Velocity: 37.39	Joules Lost: 117	Distance: 970	Time: 2.781	Run  	
Current Velocity: 37.39	Final Velocity: 37.39	Joules Lost: 117	Distance: 980	Time: 2.781	Run  	
Current Velocity: 37.39	Final Velocity: 37.39	Joules Lost: 118	Distance: 990	Time: 2.781	Run  	
Current Velocity: 37.39	Final Velocity: 37.4	Joules Lost: 118	Distance: 1000	Time: 2.781	Run  	
Time: 316.5
3.133
M/KWH: -75.8112
