Current Velocity: 9.8	Coast	Distance: 5.6e+02	Time: 9.4	Final Velocity: 9.4	Joules Lost: 4e+03	
Current Velocity: 9.4	Coast	Distance: 5.7e+02	Time: 9.1	Final Velocity: 9.1	Joules Lost: 4e+03	
Current Velocity: 9.1	Coast	Distance: 5.8e+02	Time: 8.7	Final Velocity: 8.7	Joules Lost: 4e+03	
Current Velocity: 8.7	Coast	Distance: 5.9e+02	Time: 8.3	Final Velocity: 8.4	Joules Lost: 4e+03	
Current Velocity: 8.4	Run  	Distance: 6e+02	Time: 8.4	Final Velocity: 13	Joules Lost: 5e+03	
Current Velocity: 13	Coast	Distance: 6.1e+02	Time: 13	Final Velocity: 13	Joules Lost: 5e+03	
Current Velocity: 13	Coast	Distance: 6.2e+02	Time: 13	Final Velocity: 13	Joules Lost: 5e+03	
Current Velocity: 13	Coast	Distance: 6.3e+02	Time: 13	Final Velocity: 13	Joules Lost: 5e+03	
Current Velocity: 13	Coast	Distance: 6.4e+02	Time: 12	Final Velocity: 12	Joules Lost: 5e+03	
Current Velocity: 12	Coast	Distance: 6.5e+02	Time: 12	Final Velocity: 12	Joules Lost: 5e+03	
Current Velocity: 12	Coast	Distance: 6.6e+02	Time: 12	Final Velocity: 12	Joules Lost: 5e+03	
Current Velocity: 12	Coast	Distance: 6.7e+02	Time: 11	Final Velocity: 11	Joules Lost: 5e+03	
Current Velocity: 11	Coast	Distance: 6.8e+02	Time: 11	Final Velocity: 11	Joules Lost: 5e+03	
Current Velocity: 11	Coast	Distance: 6.9e+02	Time: 11	Final Velocity: 11	Joules Lost: 5e+03	
Current Velocity: 11	Coast	Distance: 7e+02	Time: 10	Final Velocity: 10	Joules Lost: 5e+03	
Current Velocity: 10	Coast	Distance: 7.1e+02	Time: 10	Final Velocity: 10	Joules Lost: 5e+03	
Current Velocity: 10	Coast	Distance: 7.2e+02	Time: 9.6	Final Velocity: 9.7	Joules Lost: 5e+03	
Current Velocity: 9.7	Coast	Distance: 7.3e+02	Time: 9.3	Final Velocity: 9.3	Joules Lost: 5e+03	
Current Velocity: 9.3	Coast	Distance: 7.4e+02	Time: 8.9	Final Velocity: 8.9	Joules Lost: 5e+03	
Current Velocity: 8.9	Coast	Distance: 7.5e+02	Time: 8.6	Final Velocity: 8.6	Joules Lost: 5e+03	
Current Velocity: 8.6	Run  	Distance: 7.6e+02	Time: 8.3	Final Velocity: 14	Joules Lost: 5.9e+03	
Current Velocity: 14	Coast	Distance: 7.7e+02	Time: 13	Final Velocity: 13	Joules Lost: 5.9e+03	
Current Velocity: 13	Coast	Distance: 7.8e+02	Time: 13	Final Velocity: 13	Joules Lost: 5.9e+03	
Current Velocity: 13	Coast	Distance: 7.9e+02	Time: 13	Final Velocity: 13	Joules Lost: 5.9e+03	
Current Velocity: 13	Coast	Distance: 8e+02	Time: 12	Final Velocity: 12	Joules Lost: 5.9e+03	
