Current Velocity: 8.799	Final Velocity: 8.422	Joules Lost: 7	Distance: 90	Time: 8.412	Coast	
Current Velocity: 8.422	Final Velocity: 13.46	Joules Lost: 1961	Distance: 100	Time: 8.375	Run  	
Current Velocity: 13.46	Final Velocity: 13.17	Joules Lost: 9	Distance: 110	Time: 13.16	Coast	
Current Velocity: 13.17	Final Velocity: 12.87	Joules Lost: 9	Distance: 120	Time: 12.86	Coast	
Current Velocity: 12.87	Final Velocity: 12.57	Joules Lost: 9	Distance: 130	Time: 12.56	Coast	
Current Velocity: 12.57	Final Velocity: 12.28	Joules Lost: 8	Distance: 140	Time: 12.26	Coast	
Current Velocity: 12.28	Final Velocity: 11.97	Joules Lost: 8	Distance: 150	Time: 11.96	Coast	
Current Velocity: 11.97	Final Velocity: 11.66	Joules Lost: 8	Distance: 160	Time: 11.65	Coast	
Current Velocity: 11.66	Final Velocity: 11.35	Joules Lost: 8	Distance: 170	Time: 11.34	Coast	
Current Velocity: 11.35	Final Velocity: 11.03	Joules Lost: 8	Distance: 180	Time: 11.02	Coast	
Current Velocity: 11.03	Final Velocity: 10.71	Joules Lost: 8	Distance: 190	Time: 10.7	Coast	
Current Velocity: 10.71	Final Velocity: 10.38	Joules Lost: 8	Distance: 200	Time: 10.37	Coast	
Current Velocity: 10.38	Final Velocity: 10.04	Joules Lost: 8	Distance: 210	Time: 10.03	Coast	
Current Velocity: 10.04	Final Velocity: 9.701	Joules Lost: 8	Distance: 220	Time: 9.69	Coast	
Current Velocity: 9.701	Final Velocity: 9.352	Joules Lost: 8	Distance: 230	Time: 9.342	Coast	
Current Velocity: 9.352	Final Velocity: 8.998	Joules Lost: 7	Distance: 240	Time: 8.988	Coast	
Current Velocity: 8.998	Final Velocity: 8.628	Joules Lost: 7	Distance: 250	Time: 8.618	Coast	
Current Velocity: 8.628	Final Velocity: 13.64	Joules Lost: 1947	Distance: 260	Time: 8.25	Run  	
Current Velocity: 13.64	Final Velocity: 13.35	Joules Lost: 9	Distance: 270	Time: 13.34	Coast	
Current Velocity: 13.35	Final Velocity: 13.05	Joules Lost: 9	Distance: 280	Time: 13.04	Coast	
Current Velocity: 13.05	Final Velocity: 12.76	Joules Lost: 9	Distance: 290	Time: 12.75	Coast	
Current Velocity: 12.76	Final Velocity: 12.46	Joules Lost: 9	Distance: 300	Time: 12.45	Coast	
Current Velocity: 12.46	Final Velocity: 12.17	Joules Lost: 8	Distance: 310	Time: 12.15	Coast	
Current Velocity: 12.17	Final Velocity: 11.86	Joules Lost: 8	Distance: 320	Time: 11.85	Coast	
Current Velocity: 11.86	Final Velocity: 11.55	Joules Lost: 8	Distance: 330	Time: 11.54	Coast	
Current Velocity: 11.55	Final Velocity: 11.23	Joules Lost: 8	Distance: 340	Time: 11.22	Coast	
Current Velocity: 11.23	Final Velocity: 10.92	Joules Lost: 8	Distance: 350	Time: 10.91	Coast	
Current Velocity: 10.92	Final Velocity: 10.6	Joules Lost: 8	Distance: 360	Time: 10.58	Coast	
Current Velocity: 10.6	Final Velocity: 10.27	Joules Lost: 8	Distance: 370	Time: 10.26	Coast	
Current Velocity: 10.27	Final Velocity: 9.932	Joules Lost: 8	Distance: 380	Time: 9.922	Coast	
Current Velocity: 9.932	Final Velocity: 9.591	Joules Lost: 8	Distance: 390	Time: 9.581	Coast	
Current Velocity: 9.591	Final Velocity: 9.244	Joules Lost: 7	Distance: 400	Time: 9.234	Coast	
Current Velocity: 9.244	Final Velocity: 8.881	Joules Lost: 8	Distance: 410	Time: 8.871	Coast	
Current Velocity: 8.881	Final Velocity: 8.513	Joules Lost: 7	Distance: 420	Time: 8.503	Coast	
Current Velocity: 8.513	Final Velocity: 13.54	Joules Lost: 1955	Distance: 430	Time: 8.312	Run  	
Current Velocity: 13.54	Final Velocity: 13.25	Joules Lost: 9	Distance: 440	Time: 13.24	Coast	
Current Velocity: 13.25	Final Velocity: 12.96	Joules Lost: 9	Distance: 450	Time: 12.95	Coast	
Current Velocity: 12.96	Final Velocity: 12.67	Joules Lost: 8	Distance: 460	Time: 12.66	Coast	
Current Velocity: 12.67	Final Velocity: 12.37	Joules Lost: 9	Distance: 470	Time: 12.36	Coast	
Current Velocity: 12.37	Final Velocity: 12.06	Joules Lost: 9	Distance: 480	Time: 12.05	Coast	
Current Velocity: 12.06	Final Velocity: 11.76	Joules Lost: 8	Distance: 490	Time: 11.75	Coast	
Current Velocity: 11.76	Final Velocity: 11.45	Joules Lost: 8	Distance: 500	Time: 11.44	Coast	
Current Velocity: 11.45	Final Velocity: 11.13	Joules Lost: 8	Distance: 510	Time: 11.12	Coast	
Current Velocity: 11.13	Final Velocity: 10.81	Joules Lost: 8	Distance: 520	Time: 10.8	Coast	
Current Velocity: 10.81	Final Velocity: 10.48	Joules Lost: 8	Distance: 530	Time: 10.47	Coast	
Current Velocity: 10.48	Final Velocity: 10.14	Joules Lost: 8	Distance: 540	Time: 10.13	Coast	
Current Velocity: 10.14	Final Velocity: 9.797	Joules Lost: 8	Distance: 550	Time: 9.787	Coast	
Current Velocity: 9.797	Final Velocity: 9.448	Joules Lost: 8	Distance: 560	Time: 9.437	Coast	
Current Velocity: 9.448	Final Velocity: 9.092	Joules Lost: 8	Distance: 570	Time: 9.082	Coast	
Current Velocity: 9.092	Final Velocity: 8.731	Joules Lost: 7	Distance: 580	Time: 8.721	Coast	
Current Velocity: 8.731	Final Velocity: 8.354	Joules Lost: 7	Distance: 590	Time: 8.345	Coast	
Current Velocity: 8.354	Final Velocity: 13.41	Joules Lost: 1966	Distance: 600	Time: 8.406	Run  	
Current Velocity: 13.41	Final Velocity: 13.11	Joules Lost: 9	Distance: 610	Time: 13.1	Coast	
Current Velocity: 13.11	Final Velocity: 12.82	Joules Lost: 9	Distance: 620	Time: 12.81	Coast	
Current Velocity: 12.82	Final Velocity: 12.52	Joules Lost: 9	Distance: 630	Time: 12.51	Coast	
Current Velocity: 12.52	Final Velocity: 12.22	Joules Lost: 8	Distance: 640	Time: 12.21	Coast	
Current Velocity: 12.22	Final Velocity: 11.92	Joules Lost: 8	Distance: 650	Time: 11.91	Coast	
Current Velocity: 11.92	Final Velocity: 11.6	Joules Lost: 8	Distance: 660	Time: 11.59	Coast	
Current Velocity: 11.6	Final Velocity: 11.3	Joules Lost: 8	Distance: 670	Time: 11.29	Coast	
Current Velocity: 11.3	Final Velocity: 10.98	Joules Lost: 8	Distance: 680	Time: 10.97	Coast	
Current Velocity: 10.98	Final Velocity: 10.66	Joules Lost: 8	Distance: 690	Time: 10.65	Coast	
Current Velocity: 10.66	Final Velocity: 10.33	Joules Lost: 8	Distance: 700	Time: 10.32	Coast	
Current Velocity: 10.33	Final Velocity: 9.994	Joules Lost: 8	Distance: 710	Time: 9.983	Coast	
Current Velocity: 9.994	Final Velocity: 9.652	Joules Lost: 8	Distance: 720	Time: 9.642	Coast	
Current Velocity: 9.652	Final Velocity: 9.304	Joules Lost: 8	Distance: 730	Time: 9.294	Coast	
Current Velocity: 9.304	Final Velocity: 8.941	Joules Lost: 8	Distance: 740	Time: 8.931	Coast	
Current Velocity: 8.941	Final Velocity: 8.571	Joules Lost: 7	Distance: 750	Time: 8.561	Coast	
Current Velocity: 8.571	Final Velocity: 13.59	Joules Lost: 1951	Distance: 760	Time: 8.281	Run  	
Current Velocity: 13.59	Final Velocity: 13.3	Joules Lost: 9	Distance: 770	Time: 13.29	Coast	
Current Velocity: 13.3	Final Velocity: 13.01	Joules Lost: 9	Distance: 780	Time: 13	Coast	
Current Velocity: 13.01	Final Velocity: 12.72	Joules Lost: 9	Distance: 790	Time: 12.7	Coast	
Current Velocity: 12.72	Final Velocity: 12.42	Joules Lost: 9	Distance: 800	Time: 12.41	Coast	
Current Velocity: 12.42	Final Velocity: 12.11	Joules Lost: 9	Distance: 810	Time: 12.1	Coast	
Current Velocity: 12.11	Final Velocity: 11.81	Joules Lost: 8	Distance: 820	Time: 11.8	Coast	
Current Velocity: 11.81	Final Velocity: 11.5	Joules Lost: 8	Distance: 830	Time: 11.48	Coast	
Current Velocity: 11.5	Final Velocity: 11.18	Joules Lost: 8	Distance: 840	Time: 11.17	Coast	
Current Velocity: 11.18	Final Velocity: 10.85	Joules Lost: 8	Distance: 850	Time: 10.84	Coast	
Current Velocity: 10.85	Final Velocity: 10.53	Joules Lost: 8	Distance: 860	Time: 10.52	Coast	
Current Velocity: 10.53	Final Velocity: 10.2	Joules Lost: 8	Distance: 870	Time: 10.19	Coast	
Current Velocity: 10.2	Final Velocity: 9.871	Joules Lost: 8	Distance: 880	Time: 9.86	Coast	
Current Velocity: 9.871	Final Velocity: 9.52	Joules Lost: 8	Distance: 890	Time: 9.51	Coast	
Current Velocity: 9.52	Final Velocity: 9.164	Joules Lost: 8	Distance: 900	Time: 9.154	Coast	
Current Velocity: 9.164	Final Velocity: 8.802	Joules Lost: 7	Distance: 910	Time: 8.792	Coast	
Current Velocity: 8.802	Final Velocity: 8.424	Joules Lost: 7	Distance: 920	Time: 8.414	Coast	
Current Velocity: 8.424	Final Velocity: 13.47	Joules Lost: 1961	Distance: 930	Time: 8.375	Run  	
Current Velocity: 13.47	Final Velocity: 13.17	Joules Lost: 9	Distance: 940	Time: 13.16	Coast	
Current Velocity: 13.17	Final Velocity: 12.88	Joules Lost: 9	Distance: 950	Time: 12.86	Coast	
Current Velocity: 12.88	Final Velocity: 12.57	Joules Lost: 9	Distance: 960	Time: 12.56	Coast	
Current Velocity: 12.57	Final Velocity: 12.28	Joules Lost: 8	Distance: 970	Time: 12.27	Coast	
Current Velocity: 12.28	Final Velocity: 11.97	Joules Lost: 8	Distance: 980	Time: 11.96	Coast	
Current Velocity: 11.97	Final Velocity: 11.66	Joules Lost: 8	Distance: 990	Time: 11.65	Coast	
Current Velocity: 11.66	Final Velocity: 11.35	Joules Lost: 8	Distance: 1000	Time: 11.34	Coast	
Time: 1078.02
0.919833
M/KWH: 130.472
